rmse_log,mae_log,rmse_real,mae_real,mape,accuracy_pct,store_nbr,n
0.448038925049663,0.34221474440069455,8.050777380077227,4.237209554587453,52.55031699259221,47.44968300740779,45,11079
0.4474454188775324,0.34308714452223105,7.9107723517143445,4.281285282588534,53.1366609522012,46.8633390477988,47,11086
0.4532442295456464,0.3480727191029038,8.133211769911508,4.0169490241869275,54.6320419845761,45.3679580154239,3,10869
0.44403164141235224,0.35651893012926283,7.497598436909907,2.1414355542407777,55.23849779485397,44.76150220514603,32,4920
0.45787352477213644,0.34607922519108725,11.645325070900947,4.854422826600983,55.3002396891634,44.6997603108366,44,11313
0.4548792829299242,0.3533704817749459,9.726647677296183,4.334737930717482,55.31569768393183,44.68430231606817,46,10711
0.45672654208780167,0.3654574660937095,5.336684854170618,2.407624107175327,57.27990846740399,42.72009153259601,26,6976
0.4573416859133912,0.3573201700325135,10.064966888514032,3.9583923003279256,57.39379300241855,42.60620699758145,48,10352
0.47858191707030856,0.37667338035043,7.11992568882044,3.7018549894211756,57.70699975125966,42.29300024874034,9,8944
0.464181301370051,0.3709632783569404,4.782372352363648,2.6147709190968103,58.04704170486574,41.95295829513426,10,5950
0.45235215956928404,0.3614826264996549,4.9841628312253805,2.5116690383939155,58.91361061444398,41.08638938555602,54,5309
0.49188113308666587,0.3891660817749604,7.526327929739177,2.515721249159513,58.92857663397215,41.07142336602785,35,5112
0.48196803519824133,0.3822158740934646,5.323332053435764,2.9472019363405635,58.99605703802264,41.00394296197736,33,6589
0.4551274260685162,0.3624534271196386,4.077212857735133,1.902801628632946,59.09631247898754,40.90368752101246,30,5240
0.47478777826732754,0.369828982656134,10.896181464652727,3.7464743614192892,59.311451105090555,40.688548894909445,51,9824
0.4697747108209578,0.3726665313624713,5.6319935091734035,2.800644583686819,59.31572891439176,40.68427108560824,37,9369
0.46648599134850777,0.36858851487427763,4.3605628511808945,2.557140254993742,59.46611329540965,40.53388670459035,5,9302
0.446523678679245,0.3597220614194681,3.541750060624842,1.9902936557842676,59.69692241458534,40.30307758541466,41,7666
0.46884582746119435,0.37040272318230655,5.880584939195834,2.787258180428123,59.925317676498004,40.074682323501996,31,7342
0.4714857348456598,0.36999994150313203,6.0633175951568745,3.2499363876629195,60.00500196776796,39.99499803223204,24,9536
0.47744390633957284,0.3829932440003472,4.814434207004998,2.700979129075393,60.498362959161845,39.501637040838155,40,6240
0.47034040658757503,0.36680354206630167,5.644994505039122,3.0420020801562764,60.64412957346672,39.35587042653328,8,10473
0.48251330853353513,0.3823681189659475,4.995665009413049,2.805527647903841,60.84664931839856,39.15335068160144,16,6510
0.47589918420901245,0.3760699042694362,8.562023952007,2.546333430597379,61.105317581703964,38.894682418296036,28,7492
0.5143756221689842,0.40449439460408243,12.470962095626462,5.110598645552555,61.366834325963595,38.633165674036405,11,8261
0.4619273545567449,0.364758093118864,4.944457009615444,2.9580866767000615,61.50567134915104,38.49432865084896,49,9968
0.5050950159482284,0.39821023289342883,7.5057289173365165,3.052153653720941,61.56342192711621,38.43657807288379,13,5870
0.46516070558169453,0.36559113941525234,4.835155440621325,2.8591539979111125,61.62863166490351,38.37136833509649,6,10042
0.4596163999674147,0.36407551075534156,4.0348004327943325,2.496405060303569,61.68124612678177,38.31875387321823,38,8932
0.4775656868997989,0.37912123745995796,5.64933976191686,2.927022863407778,61.94373949256914,38.05626050743086,7,9577
0.4914333346799554,0.3842643738368468,7.4504160982727505,3.6495804971936523,62.13970122094417,37.86029877905583,50,10051
0.46768993679582527,0.3696116826960951,5.263246378995908,2.6481439161125877,62.199298471258324,37.800701528741676,2,9603
0.5086155568373703,0.408265407118789,8.496527847029668,3.166870463281812,62.51830289468741,37.48169710531259,25,7707
0.4481192799445863,0.3558436398418034,4.912939075392719,2.2431914691715327,62.57020819949549,37.42979180050451,27,8185
0.47720443664223644,0.3789376950920426,4.184074681859268,2.297890150221987,62.626061952573984,37.373938047426016,1,8582
0.4818449685320551,0.37997514584091413,5.99489278891036,3.1073979051285816,62.72239055443853,37.27760944556147,17,6710
0.4725597522539734,0.3730163817793896,5.141229637594225,2.579713201836522,63.227064729322024,36.772935270677976,4,9318
0.4968995652863247,0.3962300940133487,5.734020596912641,2.8673136437890774,63.77861784782345,36.22138215217655,15,6244
0.4908335943872356,0.3903009859101319,7.218209458820894,2.9829095217461195,63.78967169144555,36.21032830855445,43,5818
0.5058706400674271,0.4022064388896033,8.325413823953124,3.227550825218336,63.877215716496764,36.122784283503236,19,5819
0.488472814593254,0.3856362728851523,5.221125821098369,2.7734074869758967,63.96346235514846,36.03653764485154,39,8302
0.5005974356946831,0.3951753603336627,6.407906561693846,3.3028119024749825,64.34640676786256,35.65359323213744,34,7640
0.4722270626089485,0.3780218736430758,3.9498878432791975,2.282809803663056,64.34919199035137,35.65080800964863,18,7725
0.47632555898239887,0.37999416711075257,30.417811642466724,2.8686600231008805,65.41590820444232,34.58409179555768,23,8002
0.4984282985967149,0.39872635159214753,5.275366103491656,2.728607576452967,66.0931684624518,33.9068315375482,12,6202
0.5032917294776723,0.39856861175171776,6.232865634348424,3.119152202907031,66.76414348495896,33.235856515041036,14,6074
